biosample_id,strain,mlst,ribotype,npmA_presence,Composite_Tn,ICE_MGE_type,niche,host,host_disease,isolation_source,collection_year,collection_month,collection_day,continent,country,region,District,City,lab_contact,bioproject_id,run_id,study_id,contig_number,genome_length,N50,QC_assemblies,QC_reason
SAMN05209189,MMMOSAM:230889c0-6e61-48ed-a951-892348fbfde4,11,,,,,Human,Human,,Homo sapiens; clinical sample,2013,1,17,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA318370,SRR3631212,Stoesser2017,115,3898952,162842,pass,
SAMN05209173,MMMOSAM:1c9aca5e-1d29-4723-a163-a140da051324,11,,,,,Human,Human,,Homo sapiens; clinical sample,2010,8,28,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA318370,SRR3631194,Stoesser2017,70,3897526,141716,pass,
SAMN05209150,MMMOSAM:1380ed28-fb72-46cd-b9ae-cf253e4bffc7,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA318370,SRR3631171,Stoesser2017,89,4141678,180558,pass,
SAMN05208772,MMMOSAM:f5e0464b-5f97-4f5f-ac56-971a87ebb402,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Oceania,Australia,,,,University of Oxford,PRJNA318370,SRR3630930,Stoesser2017,81,4053985,127704,pass,
SAMN05208612,MMMOSAM:b52cde5f-fe8e-4916-b82f-fdbfd0a98dda,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA318370,SRR3630562,Stoesser2017,141,4030841,67344,pass,
SAMN05208392,MMMOSAM:5a08baf7-de27-4b66-a67d-317372f2c2c3,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Oceania,Australia,,,,University of Oxford,PRJNA318370,SRR3630220,Stoesser2017,107,4101568,124343,pass,
SAMN05208323,MMMOSAM:33ed68d7-ec89-4d53-800e-e2a2fb37a283,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Oceania,Australia,,,,University of Oxford,PRJNA318370,SRR3630150,Stoesser2017,105,4108492,119908,pass,
SAMN05208111,MMMOSAM:db53ff53-8841-4b9f-ae5a-291c2c90ec49,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA318370,SRR3629733,Stoesser2017,113,3901964,141020,pass,
SAMN05207915,MMMOSAM:5b4adcb9-d58a-48c4-b840-788397eda518,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA318370,SRR3629506,Stoesser2017,108,3875539,163041,pass,
SAMN05207793,MMMOSAM:412c9233-8c5e-4e71-943b-91ca9843ba49,11,,,,,Human,Human,,Homo sapiens; clinical sample,,,,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA318370,SRR3629445,Stoesser2017,124,3968920,141796,pass,
SAMN04870637,MMMOSAM:45e504bd-3c22-4c60-b9c5-10a21041aacd,11,,,,,Human,Human,,Homo sapiens; clinical sample,2011,12,3,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3358246,Martin2018,82,3877369,125576,pass,
SAMN04870631,MMMOSAM:40abe06c-956e-4b49-8d40-7f5b3e3f527b,11,,,,,Human,Human,,Homo sapiens; clinical sample,2011,6,5,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3358227,Martin2018,75,3892570,140805,pass,
SAMN04870570,MMMOSAM:141a2b56-ddbf-4fc4-b7bf-18297d3a7652,11,,,,,Human,Human,,Homo sapiens; clinical sample,2012,4,11,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3357647,Martin2018,151,4027284,81395,pass,
SAMN04870775,MMMOSAM:af95b8ea-8bbf-407b-8159-069c2c1b97dc,11,,,one_copy_IS30,ICE_v5,Human,Human,,Homo sapiens; clinical sample,2011,8,9,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3356102,Martin2018,93,4118168,118606,pass,
SAMN04870746,MMMOSAM:95b69c18-20b8-4b75-8875-50af04fd6096,11,,,,,Human,Human,,Homo sapiens; clinical sample,2010,10,2,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3355919,Martin2018,71,3967834,140740,pass,
SAMN04870733,MMMOSAM:8e0d0225-4d54-44a3-826e-da7f60f58c49,11,,,,,Human,Human,,Homo sapiens; clinical sample,2012,2,6,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3355885,Martin2018,102,3941376,108674,pass,
SAMN04870650,MMMOSAM:52b7ef30-cf90-4b47-b7a1-a03767cab032,11,,,,,Human,Human,,Homo sapiens; clinical sample,2012,1,12,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3355356,Martin2018,82,4066365,141110,pass,
SAMN04839360,MMMOSAM:33c47ec6-9f54-49f2-8649-4309b530eb4d,11,,,,,Human,Human,,Homo sapiens; clinical sample,2011,12,23,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3357961,Martin2018,82,4066616,140673,pass,
SAMN04823467,MMMOSAM:08af25da-f93c-4210-a45d-72c2d5ff86f6,11,,,,,Human,Human,,Homo sapiens; clinical sample,2010,11,26,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3357550,Martin2018,78,3942734,140740,pass,
SAMN04821754,MMMOSAM:025d0444-8fa2-42ca-9b83-3abebf690e70,11,,,,,Human,Human,,Homo sapiens; clinical sample,2012,4,18,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3357515,Martin2018,100,3941550,103061,pass,
SAMN04848527,MMMOSAM:d7a7e991-509c-4186-aba7-ba4110ac62ec,11,,,,,Human,Human,,Homo sapiens; clinical sample,2011,8,19,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3356227,Martin2018,126,4031266,94063,pass,
SAMN04848520,MMMOSAM:d0ead500-0f27-4e50-87ea-872e3d75299e,11,,,,,Human,Human,,Homo sapiens; clinical sample,2010,8,26,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3356214,Martin2018,78,3870495,134040,pass,
SAMN04848348,MMMOSAM:791bc41e-650b-498d-b229-6698fdaf8d8f,11,,,,,Human,Human,,Homo sapiens; clinical sample,2012,1,15,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA317528,SRR3355749,Martin2018,84,4029595,134040,pass,
SAMN04459317,Symptomatic Infection 2575,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2011,3,5,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3339360,Dingle2019,93,4048542,125671,pass,
SAMN04459360,Symptomatic Infection 2618,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,4,1,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338253,Dingle2019,95,3937232,100061,pass,
SAMN04459312,Symptomatic Infection 2570,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2011,1,31,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338160,Dingle2019,88,3905386,141054,pass,
SAMN04459296,Symptomatic Infection 2554,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2010,8,11,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338148,Dingle2019,84,3868344,134040,pass,
SAMN04460603,Symptomatic Infection 3937,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2008,11,25,North America,United States,,,,University of Oxford,PRJNA304087,SRR3340268,Dingle2019,109,3923148,152818,pass,
SAMN04460598,Symptomatic Infection 3932,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2008,4,23,North America,United States,,,,University of Oxford,PRJNA304087,SRR3340208,Dingle2019,118,4060484,152818,pass,
SAMN04460580,Symptomatic Infection 3913,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2007,10,9,Europe,Belgium,,,,University of Oxford,PRJNA304087,SRR3340054,Dingle2019,121,4061460,162891,pass,
SAMN04458499,Symptomatic Infection 1243,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2007,5,12,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3340010,Dingle2019,91,4029118,134081,pass,
SAMN04459357,Symptomatic Infection 2615,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,2,6,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3339374,Dingle2019,102,3941508,108674,pass,
SAMN04459388,Symptomatic Infection 2646,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,12,1,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3339365,Dingle2019,122,3873823,141425,pass,
SAMN04459931,Symptomatic Infection 3198,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2011,1,5,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3339325,Dingle2019,77,4050097,140805,pass,
SAMN04459356,Symptomatic Infection 2614,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,1,15,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338966,Dingle2019,84,4029481,134040,pass,
SAMN04458530,Symptomatic Infection 1314,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,11,4,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3338919,Dingle2019,146,4038868,99866,pass,
SAMN04459398,Symptomatic Infection 2656,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2013,4,4,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338800,Dingle2019,129,3982570,128557,pass,
SAMN04459367,Symptomatic Infection 2625,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,6,20,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338665,Dingle2019,178,4203979,125599,pass,
SAMN04459383,Symptomatic Infection 2641,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,10,7,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338566,Dingle2019,123,3908169,143053,pass,
SAMN04458532,Symptomatic Infection 1316,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,11,23,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3338529,Dingle2019,122,3898717,152818,pass,
SAMN04459350,Symptomatic Infection 2608,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2011,12,3,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338487,Dingle2019,82,3877665,125576,pass,
SAMN04459332,Symptomatic Infection 2590,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2011,6,5,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338464,Dingle2019,75,3892472,140805,pass,
SAMN04459354,Symptomatic Infection 2612,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2011,12,23,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3338211,Dingle2019,82,4066887,140673,pass,
SAMN04459938,Symptomatic Infection 3205,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,11,22,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3338198,Dingle2019,121,3897791,152818,pass,
SAMN04459937,Symptomatic Infection 3204,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,10,15,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3338135,Dingle2019,120,3939489,141220,pass,
SAMN04459397,Symptomatic Infection 2655,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2013,4,1,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3337781,Dingle2019,129,3908529,152818,pass,
SAMN04459307,Symptomatic Infection 2565,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2010,11,26,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3337613,Dingle2019,78,3942682,140740,pass,
SAMN04459328,Symptomatic Infection 2586,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2011,5,11,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3337601,Dingle2019,75,4011544,140805,pass,
SAMN04459368,Symptomatic Infection 2626,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,6,22,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3337588,Dingle2019,156,3887789,149989,pass,
SAMN04459343,Symptomatic Infection 2601,11,,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faeces; feces,2011,10,5,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3335887,Dingle2019,86,4022943,140805,pass,
SAMN04459384,Symptomatic Infection 2642,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,10,22,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3335861,Dingle2019,112,3994880,128671,pass,
SAMN04459372,Symptomatic Infection 2630,11,,,one_copy_IS30,ICE_v1,Human,Human,,Homo sapiens; Faeces; feces,2012,7,9,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3335577,Dingle2019,106,3976499,147708,pass,
SAMN04459387,Symptomatic Infection 2645,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,11,14,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3335217,Dingle2019,150,3993643,90320,pass,
SAMN04459379,Symptomatic Infection 2637,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,9,11,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3335214,Dingle2019,159,3951346,110834,pass,
SAMN04459339,Symptomatic Infection 2597,11,,,one_copy_IS30,ICE_v5,Human,Human,,Homo sapiens; Faeces; feces,2011,8,9,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3335199,Dingle2019,93,4118168,118606,pass,
SAMN04458531,Symptomatic Infection 1315,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,11,19,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3335196,Dingle2019,100,3889236,162797,pass,
SAMN04459380,Symptomatic Infection 2638,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,9,27,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3335178,Dingle2019,127,4079324,134026,pass,
SAMN04459300,Symptomatic Infection 2558,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2010,10,2,Europe,United Kingdom,England,,Leeds,University of Oxford,PRJNA304087,SRR3334844,Dingle2019,71,3967934,140740,pass,
SAMN04460582,Symptomatic Infection 3915,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2009,6,24,Europe,Belgium,,,,University of Oxford,PRJNA304087,SRR3334450,Dingle2019,115,4033769,163571,pass,
SAMN04458496,Symptomatic Infection 1239,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2006,9,20,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3334159,Dingle2019,141,3971316,64332,pass,
SAMN04460592,Symptomatic Infection 3925,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2008,6,23,Europe,Italy,,,,University of Oxford,PRJNA304087,SRR3334098,Dingle2019,112,4069189,147343,pass,
SAMN04460609,Symptomatic Infection 3943,11,,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faeces; feces,2008,1,7,North America,United States,,,,University of Oxford,PRJNA304087,SRR3334084,Dingle2019,121,3985219,163571,pass,
SAMN04458501,Symptomatic Infection 1245,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2007,5,30,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3333796,Dingle2019,101,3976611,94063,pass,
SAMN04460606,Symptomatic Infection 3940,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2007,8,30,North America,United States,,,,University of Oxford,PRJNA304087,SRR3333731,Dingle2019,122,3870832,163571,pass,
SAMN04458497,Symptomatic Infection 1240,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2006,9,20,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3333625,Dingle2019,124,3903971,162797,pass,
SAMN04458513,Symptomatic Infection 1297,11,,npmA2,yes,ICE_v1,Human,Human,,Homo sapiens; Faeces; feces,2011,6,9,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3333350,Dingle2019,88,3978384,134205,pass,
SAMN04460593,Symptomatic Infection 3926,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2009,2,26,Europe,Italy,,,,University of Oxford,PRJNA304087,SRR3333317,Dingle2019,124,4116609,152818,pass,
SAMN04460935,Asymptomatic infection 74,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,4,11,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3333246,Dingle2019,121,4033570,163571,pass,
SAMN04460590,Symptomatic Infection 3923,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2009,6,30,Europe,Germany,,,,University of Oxford,PRJNA304087,SRR3333225,Dingle2019,125,4039150,147505,pass,
SAMN04460594,Symptomatic Infection 3927,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2009,3,11,Europe,Italy,,,,University of Oxford,PRJNA304087,SRR3333111,Dingle2019,94,4069645,162796,pass,
SAMN04458500,Symptomatic Infection 1244,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2007,5,13,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3333090,Dingle2019,80,4029497,140805,pass,
SAMN04460589,Symptomatic Infection 3922,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2008,6,26,Europe,France,,,,University of Oxford,PRJNA304087,SRR3333074,Dingle2019,109,4071303,152818,pass,
SAMN04460610,Symptomatic Infection 3944,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2007,9,21,North America,United States,,,,University of Oxford,PRJNA304087,SRR3333063,Dingle2019,103,3946134,152818,pass,
SAMN04458517,Symptomatic Infection 1301,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,1,24,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3333047,Dingle2019,80,4040733,134888,pass,
SAMN04460934,Asymptomatic infection 73,11,,,,,Human,Human,,Homo sapiens; Faeces; feces,2012,10,13,Europe,United Kingdom,England,Oxfordshire,,University of Oxford,PRJNA304087,SRR3333039,Dingle2019,128,3968644,162797,pass,
SAMEA5086669,C141,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2015,1,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898872,Knight2019,67,4091375,188249,pass,
SAMEA5086666,C138,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2007,7,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898869,Knight2019,105,4108591,119908,pass,
SAMEA5086658,C120,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2006,1,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898861,Knight2019,107,4104462,200746,pass,
SAMEA5086592,C054,11,,,,,Human,Human,CDI,Homo sapiens; Healthcare system,,,,North America,United States,Illinois,,,1,PRJEB22563,ERR2898795,Knight2019,97,4027826,124134,pass,
SAMEA5086591,C053,11,,,,,Human,Human,CDI,Homo sapiens; Healthcare system,,,,North America,United States,Illinois,,,1,PRJEB22563,ERR2898794,Knight2019,80,4035157,133908,pass,
SAMEA5086589,C051,11,,,,,Human,Human,CDI,Homo sapiens; Healthcare system,,,,North America,United States,Illinois,,,1,PRJEB22563,ERR2898792,Knight2019,86,4024869,108674,pass,
SAMEA5086585,C047,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2012,2,1,Asia,Taiwan,,,,1,PRJEB22563,ERR2898788,Knight2019,104,3954895,101461,pass,
SAMEA5086584,C046,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2011,6,1,Asia,Taiwan,,,,1,PRJEB22563,ERR2898787,Knight2019,77,3964164,134081,pass,
SAMEA5086583,C045,11,,,,,Human,Human,CDI,Homo sapiens; Healthcare system,,,,Europe,Spain,,,Madrid,1,PRJEB22563,ERR2898786,Knight2019,84,4014778,125576,pass,
SAMEA5086582,C043,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2008,6,1,Europe,Italy,,,,1,PRJEB22563,ERR2898785,Knight2019,94,4162630,127922,pass,
SAMEA5086574,C035,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2013,7,1,Europe,Italy,,,,1,PRJEB22563,ERR2898777,Knight2019,84,4071964,134081,pass,
SAMEA5086568,C029,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2002,6,1,Europe,Italy,,,,1,PRJEB22563,ERR2898771,Knight2019,91,4098043,119772,pass,
SAMEA5086565,C025,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2008,8,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898768,Knight2019,82,4051848,140806,pass,
SAMEA5086563,C023,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2006,7,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898766,Knight2019,80,4046683,140805,pass,
SAMEA5086561,C021,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2006,6,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898764,Knight2019,81,4021726,140805,pass,
SAMEA5086560,C020,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2006,7,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898763,Knight2019,81,4053473,127704,pass,
SAMEA5086556,C016,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2012,1,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898759,Knight2019,126,4041931,147343,pass,
SAMEA5086554,C014,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2012,12,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898757,Knight2019,96,4044706,125671,pass,
SAMEA5086551,C011,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2012,7,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898754,Knight2019,79,4020787,134081,pass,
SAMEA5086545,C005,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2012,12,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898748,Knight2019,110,4048739,101498,pass,
SAMEA5086544,C004,11,,,,,Human,Human,,Homo sapiens; Healthcare system,2012,6,1,Oceania,Australia,,,,1,PRJEB22563,ERR2898747,Knight2019,65,4012136,134079,pass,
SAMEA4744616,980d1640-155a-11e8-899b-3c4a9275d6c8,11,78,,,,Human,Human,CDI,,2015,,,Europe,Netherlands,,,Nijmegen,Wellcome Sanger Institute,PRJEB25045,ERR3284363,Crobach2023,137,4148639,163571,pass,
SAMEA4744623,986035be-155a-11e8-899b-3c4a9275d6c8,11,78,,,,Human,Human,CDI,,2015,,,Europe,Netherlands,,,Nijmegen,Wellcome Sanger Institute,PRJEB25045,ERR3284333,Crobach2023,140,4150334,141020,pass,
SAMEA5556119,Cdiff_Madrid_WGS_Project_205,11,,,,,Human,Human,,Homo sapiens; Human faeces,2014,2,10,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3299524,Garcia-fernandez2019,103,4008737,101525,pass,
SAMEA5556115,Cdiff_Madrid_WGS_Project_201,11,,,,,Human,Human,,Homo sapiens; Human faeces,2016,2,1,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3299520,Garcia-fernandez2019,115,4030325,133982,pass,
SAMEA5556093,Cdiff_Madrid_WGS_Project_179,11,,,,,Human,Human,,Homo sapiens; Human faeces,2014,5,7,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3296453,Garcia-fernandez2019,128,4104060,134022,pass,
SAMEA5556085,Cdiff_Madrid_WGS_Project_171,11,,,,,Human,Human,,Homo sapiens; Human faeces,2014,11,7,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3296446,Garcia-fernandez2019,115,4063800,134118,pass,
SAMEA5556073,Cdiff_Madrid_WGS_Project_159,11,,,,,Human,Human,,Homo sapiens; Human faeces,2014,2,18,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3293597,Garcia-fernandez2019,123,4037115,133744,pass,
SAMEA5556071,Cdiff_Madrid_WGS_Project_157,11,,,,,Human,Human,,Homo sapiens; Human faeces,2014,3,24,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3289213,Garcia-fernandez2019,117,4029826,140873,pass,
SAMEA5556065,Cdiff_Madrid_WGS_Project_151,11,,,one_copy_IS30,ICE_v2,Human,Human,,Homo sapiens; Human faeces,2014,3,3,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3289208,Garcia-fernandez2019,112,3964829,129076,pass,
SAMEA5556049,Cdiff_Madrid_WGS_Project_135,11,,,,,Human,Human,,Homo sapiens; Human faeces,2016,5,25,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3288580,Garcia-fernandez2019,91,4146209,128111,pass,
SAMEA5556048,Cdiff_Madrid_WGS_Project_134,11,,,,,Human,Human,,Homo sapiens; Human faeces,2016,5,6,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3288579,Garcia-fernandez2019,93,4144026,120985,pass,
SAMEA5556035,Cdiff_Madrid_WGS_Project_121,11,,,,,Human,Human,,Homo sapiens; Human faeces,2016,5,23,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3288566,Garcia-fernandez2019,84,4070911,128271,pass,
SAMEA5556033,Cdiff_Madrid_WGS_Project_119,11,,,,,Human,Human,,Homo sapiens; Human faeces,2016,4,18,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3288474,Garcia-fernandez2019,76,4058415,140805,pass,
SAMEA5556029,Cdiff_Madrid_WGS_Project_115,11,,,,,Human,Human,,Homo sapiens; Human faeces,2016,4,8,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3288470,Garcia-fernandez2019,93,4143290,125659,pass,
SAMEA5556019,Cdiff_Madrid_WGS_Project_105,11,,,,,Human,Human,,Homo sapiens; Human faeces,2016,3,4,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3288344,Garcia-fernandez2019,79,4036800,140805,pass,
SAMEA5556016,Cdiff_Madrid_WGS_Project_102,11,,,,,Human,Human,,Homo sapiens; Human faeces,2016,2,12,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3288342,Garcia-fernandez2019,82,4074340,133987,pass,
SAMEA5555942,Cdiff_Madrid_WGS_Project_28,11,,,,,Human,Human,,Homo sapiens; Human faeces,2015,7,15,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3277374,Garcia-fernandez2019,97,4152961,133912,pass,
SAMEA5555920,Cdiff_Madrid_WGS_Project_6,11,,,,,Human,Human,,Homo sapiens; Human faeces,2015,2,11,Europe,Spain,,,,HOSPITAL UNIVERSITARIO RAMON Y CAJAL,PRJEB28391,ERR3274939,Garcia-fernandez2019,82,4036300,127365,pass,
